artist_id,name,external_url,follower_count,image_url,popularity
2kEDso93O2hDgCbnuiSkkZ,Jalen Ngonda,https://open.spotify.com/artist/2kEDso93O2hDgCbnuiSkkZ,162863,https://i.scdn.co/image/ab6761610000e5ebc25c1a242016e8199d9669ea,61
0JeTRYMH7FoBiMcLXg1n8g,Full Crate,https://open.spotify.com/artist/0JeTRYMH7FoBiMcLXg1n8g,67997,https://i.scdn.co/image/ab6761610000e5eb14086f8fce8bd7f22e3c36f3,58
5uXWOfu1kA8mQ9bUp5GgxT,daste.,https://open.spotify.com/artist/5uXWOfu1kA8mQ9bUp5GgxT,27968,https://i.scdn.co/image/ab6761610000e5eb0b27940ccaf6e2725508f4f0,51
4EMtGVFvfCSrEmWaGV0roE,Theophilus London,https://open.spotify.com/artist/4EMtGVFvfCSrEmWaGV0roE,161005,https://i.scdn.co/image/ab6761610000e5eb7b4bef14942dcf953bfa0d37,51
4sTQVOfp9vEMCemLw50sbu,Galantis,https://open.spotify.com/artist/4sTQVOfp9vEMCemLw50sbu,3378473,https://i.scdn.co/image/ab6761610000e5eb7bda087d6fb48d481efd3344,71
0LcJLqbBmaGUft1e9Mm8HV,ABBA,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,12875317,https://i.scdn.co/image/ab6761610000e5eb124eba6bf3476404531bd7b2,81
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,62714407,https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789,91
63MQldklfxkjYDoUE4Tppz,M83,https://open.spotify.com/artist/63MQldklfxkjYDoUE4Tppz,2422733,https://i.scdn.co/image/ab6761610000e5ebfdb74f864a7a2cca6014a8a6,72
4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,https://open.spotify.com/artist/4RVnAU35WRWra6OZ3CbbMA,2053251,https://i.scdn.co/image/ab6761610000e5eb9a8ae4546aa5fb59aac60262,72
6fOMl44jA4Sp5b9PpYCkzz,NF,https://open.spotify.com/artist/6fOMl44jA4Sp5b9PpYCkzz,10258832,https://i.scdn.co/image/ab6761610000e5eb1cf142a710a2f3d9b7a62da1,79
1nccv1GNVkBdvsYi2FB5FB,NUEKI,https://open.spotify.com/artist/1nccv1GNVkBdvsYi2FB5FB,290301,https://i.scdn.co/image/ab6761610000e5ebfa335d9a1526fb633d57df78,68
5ZzO786ViqgegCIoa28OPx,SHADXWBXRN,https://open.spotify.com/artist/5ZzO786ViqgegCIoa28OPx,208484,https://i.scdn.co/image/ab6761610000e5eb1f37e710d01ac44e4f0b31f9,55
7okGkh1it0SWLUNOUGacbG,TRA$HCVNDY,https://open.spotify.com/artist/7okGkh1it0SWLUNOUGacbG,68118,https://i.scdn.co/image/ab6761610000e5eb354d5e387213a7984ee075a5,48
6VD4UEUPvtsemqD3mmTqCR,Deorro,https://open.spotify.com/artist/6VD4UEUPvtsemqD3mmTqCR,1260181,https://i.scdn.co/image/ab6761610000e5eb6927317407c8e2499d0cd39f,67
33W1pnW9zScZtYTnAoWnOT,Mr. Probz,https://open.spotify.com/artist/33W1pnW9zScZtYTnAoWnOT,338389,https://i.scdn.co/image/ab6761610000e5eb4665e17c6cad3616d170dfeb,64
7dGJo4pcD2V6oG8kP0tJRR,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,90331941,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,93
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,32517721,https://i.scdn.co/image/ab6761610000e5eb997cc9a4aec335d46c9481fd,84
4ULUpM5hJYKWhWdIViYrGK,re6ce,https://open.spotify.com/artist/4ULUpM5hJYKWhWdIViYrGK,74383,https://i.scdn.co/image/ab6761610000e5eb2c323041df4fbbd0d4385fb4,55
66rDbD3tWR3M1uNuIaDAGx,JGrrey,https://open.spotify.com/artist/66rDbD3tWR3M1uNuIaDAGx,84863,https://i.scdn.co/image/ab6761610000e5eb7bd79be53362ada6365494a4,48
0U7iI0Dk4Ojvi17nZboNO4,Vacations,https://open.spotify.com/artist/0U7iI0Dk4Ojvi17nZboNO4,1131254,https://i.scdn.co/image/ab6761610000e5eb080c868c83bba9ba37f13639,73
0NIIxcxNHmOoyBx03SfTCD,Tinashe,https://open.spotify.com/artist/0NIIxcxNHmOoyBx03SfTCD,2824658,https://i.scdn.co/image/ab6761610000e5eba669f860c74c9007934d2cb6,74
3sXwEUqxSzb11VpuFa5cvJ,Stacey Ryan,https://open.spotify.com/artist/3sXwEUqxSzb11VpuFa5cvJ,177972,https://i.scdn.co/image/ab6761610000e5ebf9b0dc2a031a109eb151c01d,54
4lqgnM7106Fmg20NEu4OAH,BlackMayo,https://open.spotify.com/artist/4lqgnM7106Fmg20NEu4OAH,34893,https://i.scdn.co/image/ab6761610000e5eb5ebbcc75afe7a128f903471f,57
3DEdNjxF3ea9taOMCXouZ6,Sainté,https://open.spotify.com/artist/3DEdNjxF3ea9taOMCXouZ6,343352,https://i.scdn.co/image/ab6761610000e5eb78cd5f931540508a88c8d8de,63
