song_id,title,disc_number,duration_ms,explicit,external_url,preview_url,popularity
1CmhkiXegdbj3Ewizvdg2Q,Best Friends,1,179839,t,https://open.spotify.com/track/1CmhkiXegdbj3Ewizvdg2Q,https://p.scdn.co/mp3-preview/1e07f3a8ee4e7b25b434c238414d175f396131d6?cid=1c9c9fe9723045b58a3dd31c2a7be91f,50
0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,1,216720,f,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw,https://p.scdn.co/mp3-preview/d46487055dd5c655df86280dc12f8ebbf9f75cd5?cid=1c9c9fe9723045b58a3dd31c2a7be91f,71
4sFGNz4MYpGoz53ZGCwsiE,i'm yours sped up,1,127780,f,https://open.spotify.com/track/4sFGNz4MYpGoz53ZGCwsiE,https://p.scdn.co/mp3-preview/4f2aafa3ff83630e9cd0ce3d8366bcadd6ad1170?cid=1c9c9fe9723045b58a3dd31c2a7be91f,71
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,1,251488,f,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE,,86
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,1,210685,t,https://open.spotify.com/track/0xoyUiHhxVH4gwb0CRgNmg,,72
1H4Y9uW4N0LsxJUz0VnaPJ,Just Pretend,1,204676,f,https://open.spotify.com/track/1H4Y9uW4N0LsxJUz0VnaPJ,,76
0fX4oNGBWO3dSGUZcVdVV2,N95,1,195950,t,https://open.spotify.com/track/0fX4oNGBWO3dSGUZcVdVV2,,78
2wGSgTmgSF3xjRrHkTc25R,Hate It Or Love It,1,206400,t,https://open.spotify.com/track/2wGSgTmgSF3xjRrHkTc25R,,79
2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,1,260000,t,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA,,79
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),1,229938,t,https://open.spotify.com/track/1udwFobQ1JoOdWPQrp2b6u,,80
2Y0iGXY6m6immVb2ktbseM,Little Dark Age,1,299960,f,https://open.spotify.com/track/2Y0iGXY6m6immVb2ktbseM,https://p.scdn.co/mp3-preview/9556d5e0ff2ce107ddf4f7bb7b257d21bdd11555?cid=1c9c9fe9723045b58a3dd31c2a7be91f,77
1foMv2HQwfQ2vntFf9HFeG,Rhinestone Eyes,1,200173,f,https://open.spotify.com/track/1foMv2HQwfQ2vntFf9HFeG,https://p.scdn.co/mp3-preview/f16d7c3a013b0127da5ba7cf7b0dd89e224f8ed0?cid=1c9c9fe9723045b58a3dd31c2a7be91f,77
74tLlkN3rgVzRqQJgPfink,Money Trees,1,386906,t,https://open.spotify.com/track/74tLlkN3rgVzRqQJgPfink,,80
6huNf4dutXRjJyGn7f5BPS,Pray For Me,1,211420,t,https://open.spotify.com/track/6huNf4dutXRjJyGn7f5BPS,,77
4s2BWgnSQ9NZiOQM4PP4HB,44 Bars,1,182266,t,https://open.spotify.com/track/4s2BWgnSQ9NZiOQM4PP4HB,,57
6bM3GKo47KVgvj3gHdWS0U,Like Woah,1,232693,t,https://open.spotify.com/track/6bM3GKo47KVgvj3gHdWS0U,,51
0ERnYArznxdTBEIj1VSta8,man i is,1,269231,t,https://open.spotify.com/track/0ERnYArznxdTBEIj1VSta8,,54
0jqBo5RYn008f4ZY8kPewW,Indica Badu,1,260320,t,https://open.spotify.com/track/0jqBo5RYn008f4ZY8kPewW,,58
63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster,1,249866,t,https://open.spotify.com/track/63BcfK6YAzJYeISaTPr6IO,https://p.scdn.co/mp3-preview/35839ad00eb18394bc613e8554e12ebc77f64353?cid=1c9c9fe9723045b58a3dd31c2a7be91f,69
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,1,163253,f,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,https://p.scdn.co/mp3-preview/47e41f47a7627e34bf34d039b32b9774b9b88768?cid=1c9c9fe9723045b58a3dd31c2a7be91f,80
4VMRsbfZzd3SfQtaJ1Wpwi,Double Fantasy (with Future),1,268235,t,https://open.spotify.com/track/4VMRsbfZzd3SfQtaJ1Wpwi,,71
2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),1,202093,t,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS,https://p.scdn.co/mp3-preview/bb6be3c611177685ba91254a63aae326c6143739?cid=1c9c9fe9723045b58a3dd31c2a7be91f,81
7vAXIkfsGx4VbYJn3CczWD,Sea Of Problems - Slowed + Reverb,1,125624,t,https://open.spotify.com/track/7vAXIkfsGx4VbYJn3CczWD,https://p.scdn.co/mp3-preview/22fd5e8d8b7cc10a7a377bcba651417dc5ba3179?cid=1c9c9fe9723045b58a3dd31c2a7be91f,53
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,1,241066,f,https://open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq,,83
0F4FejjWi3bf5vGOkuQwPS,On My Own,1,171692,t,https://open.spotify.com/track/0F4FejjWi3bf5vGOkuQwPS,https://p.scdn.co/mp3-preview/9e7779efcf6d195e1ad7ff6db526a3ff28a79fc4?cid=1c9c9fe9723045b58a3dd31c2a7be91f,73
6nStBZGqGgTR87MrBpNza0,HEARTBEAT,1,124959,f,https://open.spotify.com/track/6nStBZGqGgTR87MrBpNza0,https://p.scdn.co/mp3-preview/c363a8a1a63233a2b7e1614df7ac626b766505d5?cid=1c9c9fe9723045b58a3dd31c2a7be91f,67
1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,1,191013,f,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX,,81
5sbooPcNgIE22DwO0VNGUJ,POP/STARS,1,191100,f,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ,https://p.scdn.co/mp3-preview/ac76d80c24fb8bd37892da71dfa90641761e582c?cid=1c9c9fe9723045b58a3dd31c2a7be91f,68
76WJ6DfdUNCC3lqdy5s19K,Lose Myself,1,234416,f,https://open.spotify.com/track/76WJ6DfdUNCC3lqdy5s19K,https://p.scdn.co/mp3-preview/7b15efe0292c43d43078f4f53ebd449600d647da?cid=1c9c9fe9723045b58a3dd31c2a7be91f,49
7kX56S5T5acyvFmEWwDait,Roses,1,193309,f,https://open.spotify.com/track/7kX56S5T5acyvFmEWwDait,https://p.scdn.co/mp3-preview/bcfcedca6c35c11026642ce799b921fb0a9bc75c?cid=1c9c9fe9723045b58a3dd31c2a7be91f,62
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,1,260173,f,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,https://p.scdn.co/mp3-preview/d79918fba2888bf825a5edc938ce1f79ed12ff7b?cid=1c9c9fe9723045b58a3dd31c2a7be91f,86
3M0lSi5WW79CXQamgSBIjx,Swim,1,228786,t,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx,https://p.scdn.co/mp3-preview/e201f50b9d4426569bcc1a46acee0c4d5fa2e91c?cid=1c9c9fe9723045b58a3dd31c2a7be91f,82
1MFD6gdVDjFFMM8ItH9ZhI,White Walls (feat. ScHoolboy Q & Hollis),1,220319,t,https://open.spotify.com/track/1MFD6gdVDjFFMM8ItH9ZhI,https://p.scdn.co/mp3-preview/fd4ea0d41dd80dfe751f396506c68fe9d1eaad6f?cid=1c9c9fe9723045b58a3dd31c2a7be91f,59
3Eb5sztvEMa0Mqnb8DUAlU,Come Inside Of My Heart,1,246396,f,https://open.spotify.com/track/3Eb5sztvEMa0Mqnb8DUAlU,https://p.scdn.co/mp3-preview/28f8a7f82cd811494da64d9f2bff4e47a6b80957?cid=1c9c9fe9723045b58a3dd31c2a7be91f,72
3taCbWWTilb7eNMsAzOBq4,Radio,1,214573,t,https://open.spotify.com/track/3taCbWWTilb7eNMsAzOBq4,,76
5mHdCZtVyb4DcJw8799hZp,Escapism.,1,272373,t,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp,https://p.scdn.co/mp3-preview/8a8fcaf9ddf050562048d1632ddc880c9ce7c972?cid=1c9c9fe9723045b58a3dd31c2a7be91f,78
0mL82sxCRjrs3br407IdJh,Is There Someone Else?,1,199111,f,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh,,82
3zyzC28g7uU4YfWN840ciZ,loving u is harder,1,147426,f,https://open.spotify.com/track/3zyzC28g7uU4YfWN840ciZ,https://p.scdn.co/mp3-preview/f1da6b096b376ec05f45aa541ef66a233249a64a?cid=1c9c9fe9723045b58a3dd31c2a7be91f,54
5tkR9JkBj3Ueeo8W4k8IZD,Queen Tings,1,188053,f,https://open.spotify.com/track/5tkR9JkBj3Ueeo8W4k8IZD,,62
1FpVJ7HpZInE2GvhVE2TwT,Legends Never Die,1,235000,f,https://open.spotify.com/track/1FpVJ7HpZInE2GvhVE2TwT,https://p.scdn.co/mp3-preview/644d4ce6d4a3afce512d54904ce5872ccfb94493?cid=1c9c9fe9723045b58a3dd31c2a7be91f,75
38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),1,210575,t,https://open.spotify.com/track/38T0tPVZHcPZyhtOcCP7pF,https://p.scdn.co/mp3-preview/ffa9d53ff1f83a322ac0523d7a6ce13b231e4a3a?cid=1c9c9fe9723045b58a3dd31c2a7be91f,71
69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,1,263786,f,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,https://p.scdn.co/mp3-preview/0b666b9a07035a659c7e5b7cb754f1b81bf1535b?cid=1c9c9fe9723045b58a3dd31c2a7be91f,80
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,1,221820,f,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,https://p.scdn.co/mp3-preview/a0078bbdb4351ec221eb7f330bd01856636601b5?cid=1c9c9fe9723045b58a3dd31c2a7be91f,77
7HWuHPTeztOf0UQGoBSKGp,Roadmap to Full-Stack Developer,1,96520,t,https://open.spotify.com/track/7HWuHPTeztOf0UQGoBSKGp,https://p.scdn.co/mp3-preview/d92dba8577cc366bc6dd171597974570689e75d9?cid=1c9c9fe9723045b58a3dd31c2a7be91f,25
5JJPfHpByZ66XsEyCNVi2p,Krystal,1,220244,f,https://open.spotify.com/track/5JJPfHpByZ66XsEyCNVi2p,https://p.scdn.co/mp3-preview/38e3646045629302733fd1eb50b6c52c248a5649?cid=1c9c9fe9723045b58a3dd31c2a7be91f,64
6klFWv2xDGeTDoiKTtx4hg,Everyone Adores You (at least I do),1,203133,f,https://open.spotify.com/track/6klFWv2xDGeTDoiKTtx4hg,https://p.scdn.co/mp3-preview/76bebd33517afed1da45c8da477ea80fda283842?cid=1c9c9fe9723045b58a3dd31c2a7be91f,72
37xXDxPzfk5lnU8aNSRXfw,You're the Only Good Thing In My Life,1,275186,t,https://open.spotify.com/track/37xXDxPzfk5lnU8aNSRXfw,https://p.scdn.co/mp3-preview/b28c63dc1d268e62cf01db108f4c289dd4e9e03e?cid=1c9c9fe9723045b58a3dd31c2a7be91f,64
7xtsuU7WlDNmTzUQ32oQ7r,Missing You (with Ashe),1,235810,f,https://open.spotify.com/track/7xtsuU7WlDNmTzUQ32oQ7r,,52
0wavGRldH0AWyu2zvTz8zb,Sweet Nothing,1,188496,f,https://open.spotify.com/track/0wavGRldH0AWyu2zvTz8zb,,69
0O0bttAxJKKWqAqY2Nq4mC,Falling In Love,1,245840,f,https://open.spotify.com/track/0O0bttAxJKKWqAqY2Nq4mC,https://p.scdn.co/mp3-preview/8b4818b13943cdb637c9fdc354d428cd6f04c06e?cid=1c9c9fe9723045b58a3dd31c2a7be91f,73
1lORkxEMmsCZqhoxcmk3A3,Nothing,1,162797,f,https://open.spotify.com/track/1lORkxEMmsCZqhoxcmk3A3,https://p.scdn.co/mp3-preview/c58d62f7c6495a34f59c6ee670f47bb7e816733b?cid=1c9c9fe9723045b58a3dd31c2a7be91f,74
3cxZT78mZDyLsLPJKcTu3U,Right Side of My Neck,1,153320,f,https://open.spotify.com/track/3cxZT78mZDyLsLPJKcTu3U,https://p.scdn.co/mp3-preview/eab772222e62a79680e437bb95629b278caaebea?cid=1c9c9fe9723045b58a3dd31c2a7be91f,73
5XsAal7ZcWg1I5T4NcRjkv,Halley's Comet,1,234761,f,https://open.spotify.com/track/5XsAal7ZcWg1I5T4NcRjkv,,76
