album_id,title,total_tracks,release_date,external_url,image_url,label,popularity
2fS7BLnNrjXc9s7WmGmyoH,ALLIGATOR,7,2022-10-28 00:00:00,https://open.spotify.com/album/2fS7BLnNrjXc9s7WmGmyoH,https://i.scdn.co/image/ab67616d0000b2735b2a25ea51b6b7c92dd85622,Boom.Records,55
31qVWUdRrlb8thMvts0yYL,The Slow Rush,12,2020-02-14 00:00:00,https://open.spotify.com/album/31qVWUdRrlb8thMvts0yYL,https://i.scdn.co/image/ab67616d0000b27358267bd34420a00d5cf83a49,Universal Music Australia Pty. Ltd.,79
28DJGYYMR5GnQEstpS4vzM,FlySiifu's,22,2020-11-13 00:00:00,https://open.spotify.com/album/28DJGYYMR5GnQEstpS4vzM,https://i.scdn.co/image/ab67616d0000b27393ab9eb58c713df727cd33cc,Lex Records,57
49JXgb1wGpDCdhnHglwpqr,u made me a st4r,11,2024-05-03 00:00:00,https://open.spotify.com/album/49JXgb1wGpDCdhnHglwpqr,https://i.scdn.co/image/ab67616d0000b273f30df258162074902ff62902,4batz/gamma.,69
26rTTXIEtEeSTan28AiLaV,Larger Than Life,14,2023-10-27 00:00:00,https://open.spotify.com/album/26rTTXIEtEeSTan28AiLaV,https://i.scdn.co/image/ab67616d0000b273ceb160561269ab00b1df9678,ISO Supremacy under exclusive license to UnitedMasters LLC,83
5iUwaD3wFVwfaAfs9Z0eCh,BEST INTEREST,1,2020-01-25 00:00:00,https://open.spotify.com/album/5iUwaD3wFVwfaAfs9Z0eCh,https://i.scdn.co/image/ab67616d0000b273ab8995f18dc3dd9f34a6acd4,Columbia,76
2uNZ0G4uxGlzuqULW6lQnF,Tip Toe,1,2023-06-20 00:00:00,https://open.spotify.com/album/2uNZ0G4uxGlzuqULW6lQnF,https://i.scdn.co/image/ab67616d0000b2733f58c8ae420f64a314d54781,JUICEY,72
2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,14,2017-07-21 00:00:00,https://open.spotify.com/album/2nkto6YNI4rUYTLqEwWJ3o,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,Columbia,85
4qVzNqB4cskFInYfrC7P0S,Shut up My Moms Calling,1,2020-02-10 00:00:00,https://open.spotify.com/album/4qVzNqB4cskFInYfrC7P0S,https://i.scdn.co/image/ab67616d0000b273350ab7a839c04bfd5225a9f5,"Hotel Ugly, under exclusive license to Amuseio AB",80
5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,1,2024-05-04 00:00:00,https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,"Kendrick Lamar, under exclusive license to Interscope Records",87
3AlyvIIMZyT5LjWFeK5LSl,Sundress,1,2018-11-20 00:00:00,https://open.spotify.com/album/3AlyvIIMZyT5LjWFeK5LSl,https://i.scdn.co/image/ab67616d0000b2731ae967e4a02c7a39eb3c189b,A$AP Worldwide/Polo Grounds Music/RCA Records,75
7tVFEAcU6vIaSYrLWXYLbP,601 DEGREEZ,2,2024-04-12 00:00:00,https://open.spotify.com/album/7tVFEAcU6vIaSYrLWXYLbP,https://i.scdn.co/image/ab67616d0000b273f620aa927bf69057a00a686f,SND Village,45
